Steps,Calories_Out,State
549.43,3000.0,0
1664.35,1000.0,2
50.0,1688.96,0
3677.05,3000.0,2
1844.52,3000.0,2
1904.37,2873.81,2
1552.08,1000.0,2
1815.55,1607.02,2
50.0,2214.55,0
1040.06,1573.33,1
1156.08,1000.0,2
1574.61,3000.0,2
2251.29,1819.81,2
180.67,3000.0,0
50.0,2073.59,0
1478.12,1488.61,2
50.0,1498.45,0
1461.0,1000.0,2
50.0,1569.96,0
697.96,1682.74,0
1170.56,3000.0,2
50.0,1622.37,0
2872.92,2120.07,2
2432.2,1787.47,2
50.0,1257.15,0
1903.69,1037.84,2
2054.31,2697.34,2
1331.6,1678.01,2
2957.18,1381.19,2
2011.46,1000.0,2
656.43,1931.43,0
948.42,1000.0,1
956.34,2869.26,1
1210.97,2239.7,2
904.68,2248.34,0
1455.92,3000.0,2
1231.09,2371.13,2
982.98,3000.0,1
1797.23,2199.82,2
400.18,1000.0,0
417.05,1014.34,0
169.05,1000.0,0
981.15,2205.08,2
50.0,1000.0,0
1862.66,1000.0,2
1730.01,2097.27,2
561.42,1935.17,0
426.41,1000.0,0
817.01,1000.0,0
1941.6,1049.09,2
2497.87,1000.0,2
1872.16,3000.0,2
2184.63,2215.24,2
3426.03,3000.0,2
1693.36,2163.43,2
2863.46,2011.05,2
1827.34,1000.0,2
2587.8,1000.0,2
1917.38,3000.0,2
947.0,3000.0,1
504.3,2184.35,0
568.05,3000.0,0
2921.05,2259.13,2
1381.49,2625.42,2
871.04,2356.27,1
1810.35,2119.58,2
1494.47,3000.0,2
1929.06,2955.39,2
2393.77,1278.56,2
704.5,3000.0,0
1546.74,1069.06,2
3363.46,2115.56,2
3279.55,2516.13,2
1309.81,1616.36,2
1443.3,2460.62,2
50.0,1991.27,0
1055.94,2376.67,1
2772.23,1316.69,2
536.73,3000.0,0
1178.1,1135.79,2
1894.6,1577.24,2
50.0,3000.0,0
960.89,2135.02,0
1548.9,2148.5,2
660.64,1761.52,0
249.87,1000.0,0
2847.62,2026.56,2
2090.31,1534.43,2
2273.02,1204.72,2
3204.55,1000.0,2
207.48,1608.01,0
2698.55,2960.72,2
2046.73,1799.91,2
928.67,2336.43,0
903.43,1000.0,0
1036.45,1000.0,0
50.0,1209.13,0
3224.58,1469.77,2
2590.94,2116.98,2
2308.89,2137.87,2
2208.07,1815.08,2
1888.89,2268.18,2
1225.53,2944.59,2
1031.25,1851.67,0
2134.42,1398.77,2
1732.91,1000.0,2
50.0,2703.96,0
2256.8,1956.9,2
196.62,2244.49,0
1008.95,1000.0,1
991.58,1684.18,1
1774.15,1000.0,2
2215.69,2324.85,2
2884.32,2323.54,2
932.42,2192.33,0
1818.75,2545.15,2
1778.67,2417.4,2
1710.08,1521.59,2
813.92,3000.0,0
2203.55,2137.02,2
2249.54,1716.82,2
1771.38,1932.24,2
360.48,1701.15,0
2363.71,1537.09,2
50.0,2064.55,0
3006.86,3000.0,2
755.99,1452.77,0
3402.65,2759.14,2
1001.54,1999.21,1
709.77,1815.67,0
1316.47,1940.82,1
359.24,3000.0,0
1144.88,3000.0,2
2730.92,3000.0,2
420.34,2685.01,0
541.85,3000.0,0
2471.41,1431.88,2
389.71,1651.38,0
1682.57,2084.02,2
50.0,2929.5,0
1397.53,1968.36,2
780.97,2365.45,0
2095.19,2377.59,2
2228.73,3000.0,2
1645.58,1640.15,2
1922.79,2039.56,2
1398.85,2741.12,2
1481.72,1000.0,2
1982.58,3000.0,2
1453.67,1322.21,2
523.27,2068.25,0
616.36,2965.93,0
1662.15,1993.59,2
1292.02,2443.38,1
2246.56,1198.11,2
1536.48,2811.94,2
1299.5,1394.25,2
2207.84,2250.15,2
3360.33,2268.42,2
2355.81,1522.01,2
879.01,1315.97,1
1627.24,1000.0,2
1215.09,1801.53,1
2487.48,1163.01,2
2892.95,2712.37,2
1425.41,1302.02,2
658.97,1877.84,1
1332.53,1110.81,2
1788.54,1000.0,2
1211.25,1601.67,1
2083.53,1000.0,2
4000.0,2210.26,2
3391.94,2695.87,2
2580.63,2993.96,2
1747.18,1000.0,2
2883.44,3000.0,2
1151.85,2288.29,1
3189.8,3000.0,2
471.06,1000.0,0
50.0,3000.0,0
834.74,1000.0,1
1567.77,2976.65,2
1824.56,1000.0,2
882.1,1787.45,1
1228.75,3000.0,2
384.93,1646.66,0
725.61,1207.59,0
3003.39,1846.47,2
1089.59,1154.83,1
2521.26,1000.0,2
2069.26,3000.0,2
1386.24,1268.58,1
1502.46,1354.59,2
1730.3,1825.88,2
50.0,3000.0,0
595.18,1774.72,0
1659.85,1901.64,2
750.48,1454.03,0
3325.69,1311.15,2
50.0,2141.49,0
1889.45,1000.0,2
1675.97,2672.37,2
1005.77,3000.0,1
609.79,2261.96,0
2781.16,1000.0,2
50.0,1000.0,0
50.0,1000.0,0
2631.41,2512.03,2
4000.0,2603.87,2
3390.18,2871.17,2
3088.82,3000.0,2
2606.77,1909.92,2
1341.23,1971.11,2
1106.76,1368.75,1
50.0,2539.55,0
2339.16,3000.0,2
1885.35,1000.0,2
50.0,2330.16,0
1432.81,2129.18,2
688.32,3000.0,0
114.01,1763.8,0
1927.78,3000.0,2
2634.4,1749.35,2
1543.15,1289.52,2
2395.28,2957.49,2
1551.12,2940.82,2
1921.55,2625.13,2
1210.74,2680.78,2
2476.52,2504.5,2
2836.46,1000.0,2
1105.67,3000.0,1
4000.0,2847.69,2
1501.46,1019.38,2
50.0,1000.0,0
1642.7,1058.19,2
1130.23,1390.3,0
1011.35,1000.0,2
50.0,2538.97,0
1792.66,2642.41,2
2489.48,3000.0,2
734.97,1000.0,1
686.73,2081.31,0
1369.94,1000.0,2
54.28,2687.77,0
1294.98,3000.0,2
1377.75,3000.0,2
1816.04,3000.0,2
1699.04,1370.99,2
1904.6,2434.49,2
2337.52,1000.0,2
3102.3,1982.66,2
2710.8,2072.38,2
1098.06,1504.93,1
1375.06,1000.0,1
357.33,1730.2,0
709.68,1000.0,0
1610.36,3000.0,2
